ISIN,Rendimento_annuo%,Perf_1mese%,Perf_6mesi%,Perf_1anno%,Volatilita_annua%,Max_Drawdown%,VaR_95%_giorno,CVaR_95%_giorno,Ulcer_Index,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,Omega_Ratio,Pain_Ratio,Beta,Alpha%,R_Squared,Tracking_Error%,Information_Ratio,Winrate%
LU1233598447,3.4,0.36,1.89,3.99,0.42,-0.13,-0.02,-0.04,0.0151,-0.458,-0.723,26.201,0.924,225.16,,,,,,63.1
LU0321465469,3.39,0.26,1.82,3.95,0.37,-0.1,-0.02,-0.04,0.0247,-0.55,-0.804,34.85,0.91,136.876,,,,,,64.0
IE000WXLHR76,3.05,0.25,0.91,2.01,0.46,-0.22,-0.03,-0.06,0.0281,-1.179,-1.074,14.046,0.77,108.62,,,,,,76.7
IE00BLRPPV00,3.23,0.28,1.83,3.87,0.45,-0.37,-0.03,-0.04,0.0675,-0.801,-1.287,8.802,0.869,47.866,,,,,,65.2
LU2098180271,2.5,0.24,0.68,1.46,0.82,-0.35,-0.06,-0.1,0.0676,-1.345,-1.826,7.119,0.781,36.921,,,,,,48.7
IE00BM97MR69,3.23,0.26,1.79,3.91,0.46,-0.43,-0.03,-0.05,0.0879,-0.799,-1.094,7.523,0.867,36.722,,,,,,62.3
LU1923163759,3.72,0.41,2.04,4.76,0.97,-0.41,-0.03,-0.07,0.102,0.133,0.224,9.09,1.035,36.48,,,,,,41.1
LU1923163676,3.5,0.42,2.43,4.61,1.15,-0.44,-0.03,-0.06,0.0993,-0.079,-0.162,7.907,0.975,35.26,,,,,,36.3
LU2533812058,3.05,0.28,0.94,2.13,0.9,-0.73,-0.06,-0.13,0.1017,-0.607,-0.603,4.163,0.881,29.969,,,,,,53.8
IE00BJJYYX67,3.44,0.22,1.85,3.75,1.49,-0.97,-0.11,-0.21,0.1192,-0.101,-0.1,3.556,0.977,28.88,,,,,,53.4
IE000STIHQB2,3.22,0.36,0.67,1.69,1.27,-0.61,-0.09,-0.18,0.1127,-0.292,-0.34,5.26,0.943,28.599,,,,,,52.6
IE00BJP26C72,3.57,0.34,1.95,4.38,1.0,-0.95,-0.05,-0.11,0.1402,-0.019,-0.019,3.78,0.996,25.499,,,,,,53.3
LU2533811910,3.08,0.41,0.97,2.19,1.32,-0.58,-0.14,-0.2,0.1282,-0.384,-0.417,5.281,0.925,24.052,,,,,,67.6
IE00BKWD3C98,3.13,0.3,1.78,3.93,0.48,-0.66,-0.03,-0.05,0.1472,-0.958,-1.319,4.755,0.838,21.295,,,,,,63.9
LU1645385839,9.25,1.6,3.68,9.83,3.25,-2.32,-0.24,-0.45,0.4784,1.742,1.724,3.989,1.48,19.345,,,,,,37.9
IE0009XKZC98,5.99,0.83,0.57,3.77,1.94,-1.68,-0.17,-0.24,0.3106,1.234,1.996,3.571,1.237,19.286,,,,,,55.4
IE000XFCOS45,5.98,0.83,0.54,3.76,1.93,-1.7,-0.17,-0.24,0.3139,1.235,1.994,3.521,1.238,19.055,,,,,,55.7
IE000SIZJ2B2,3.37,0.25,0.95,2.18,1.26,-0.83,-0.11,-0.17,0.1947,-0.177,-0.27,4.079,0.969,17.306,,,,,,55.3
LU2673523218,4.16,0.37,0.63,1.97,1.67,-0.92,-0.14,-0.22,0.2535,0.341,0.493,4.53,1.065,16.419,,,,,,60.7
IE000Q7NR6I3,5.96,0.37,0.43,3.83,2.08,-1.95,-0.18,-0.28,0.3648,1.137,1.665,3.06,1.22,16.328,,,,,,58.7
IE000N852182,5.95,0.39,0.44,3.84,2.17,-1.94,-0.21,-0.29,0.3657,1.085,1.644,3.065,1.214,16.277,,,,,,58.7
IE00BG8BCY43,3.49,0.48,1.88,4.55,0.62,-0.86,-0.04,-0.07,0.225,-0.169,-0.245,4.047,0.971,15.5,,,,,,63.7
IE00BDFC6Q91,3.47,0.46,1.78,4.48,0.75,-0.86,-0.04,-0.09,0.2277,-0.16,-0.19,4.03,0.969,15.251,,,,,,62.9
IE00BZ048462,4.6,0.69,2.01,7.51,2.29,-2.41,-0.12,-0.26,0.3169,0.439,0.535,1.912,1.115,14.512,,,,,,56.0
IE00BGYWSW13,3.87,0.25,0.3,1.98,1.62,-0.94,-0.15,-0.22,0.2681,0.17,0.24,4.135,1.03,14.429,,,,,,56.9
IE000IAPH329,8.58,2.25,2.68,10.07,3.07,-4.03,-0.05,-0.38,0.613,1.626,0.82,2.131,1.663,13.997,,,,,,29.7
IE000GE2BEZ9,7.74,2.28,1.33,5.7,3.34,-3.47,-0.28,-0.43,0.5815,1.241,1.838,2.229,1.255,13.312,,,,,,54.2
IE00BG0TQB18,11.58,2.34,2.11,10.75,6.0,-5.52,-0.44,-0.86,0.8903,1.33,1.179,2.097,1.398,13.004,,,,,,39.8
IE000H5X52W8,3.99,0.33,0.32,1.67,1.73,-1.24,-0.14,-0.23,0.3321,0.228,0.341,3.215,1.041,12.008,,,,,,51.8
IE00BKT6RT64,5.43,0.74,2.3,3.49,2.52,-1.84,-0.22,-0.33,0.4585,0.729,1.13,2.957,1.129,11.848,,,,,,55.1
IE000ZOI8OK5,4.24,0.36,0.34,1.89,2.04,-1.33,-0.18,-0.26,0.3752,0.317,0.503,3.178,1.056,11.297,,,,,,55.6
IE000W1AURU9,8.19,2.35,1.34,7.51,4.52,-5.09,-0.35,-0.65,0.7335,1.017,1.244,1.609,1.215,11.165,,,,,,58.4
IE000WYX67F4,6.51,1.01,0.08,3.86,3.17,-2.48,-0.31,-0.4,0.5966,0.922,1.493,2.622,1.169,10.914,,,,,,55.4
IE000NBRE3P7,3.33,0.2,1.04,2.3,1.71,-1.34,-0.08,-0.2,0.309,-0.151,-0.141,2.483,0.96,10.791,,,,,,54.1
IE0006K7DEL9,4.24,0.5,-0.29,1.33,2.05,-1.73,-0.19,-0.25,0.4031,0.315,0.537,2.451,1.054,10.519,,,,,,55.2
LU2555926372,19.71,4.4,10.44,22.44,9.86,-9.31,-0.79,-1.48,1.9159,1.636,1.643,2.118,1.426,10.29,,,,,,38.5
IE00B23LNQ02,23.12,8.52,13.33,36.12,12.73,-12.93,-1.04,-1.88,2.2542,1.534,1.802,1.789,1.354,10.257,,,,,,50.7
IE000LSRKCB4,13.25,5.63,4.56,16.2,8.39,-10.58,-0.71,-1.21,1.3342,1.151,1.259,1.252,1.269,9.931,,,,,,57.1
IE000H92C4B8,6.19,2.16,0.43,4.23,3.39,-3.66,-0.3,-0.45,0.6248,0.766,1.082,1.691,1.153,9.91,,,,,,58.2
LU1681040900,3.96,0.7,2.11,5.22,2.05,-1.9,-0.16,-0.29,0.4,0.18,0.22,2.09,1.038,9.906,,,,,,58.6
IE00093GOJ04,5.87,0.43,0.08,3.89,3.34,-2.04,-0.32,-0.42,0.6014,0.683,1.058,2.883,1.128,9.762,,,,,,44.7
IE00BL25JM42,26.79,12.08,23.34,50.82,15.14,-14.4,-1.28,-2.18,2.7866,1.532,1.936,1.861,1.319,9.613,,,,,,57.2
IE000YYE6WK5,37.79,-2.55,0.33,22.39,21.14,-14.01,-2.12,-2.92,4.2549,1.618,2.372,2.697,1.324,8.882,,,,,,56.9
LU1215415214,5.98,1.93,-0.32,3.68,3.91,-3.52,-0.33,-0.5,0.6879,0.61,0.796,1.699,1.12,8.693,,,,,,49.9
LU2533810789,2.79,0.41,-0.06,0.61,1.62,-1.32,-0.14,-0.21,0.3313,-0.497,-0.767,2.12,0.914,8.416,,,,,,50.3
IE0006O3TTP9,20.82,5.42,10.88,28.57,12.31,-9.08,-1.01,-1.63,2.5427,1.399,2.034,2.294,1.28,8.188,,,,,,55.0
LU2484583302,6.16,0.96,-0.51,1.28,5.55,-2.43,-0.27,-0.44,0.7574,0.462,0.872,2.536,1.203,8.128,,,,,,19.1
IE000W6ZFH20,2.99,0.39,-0.04,1.33,1.94,-1.38,-0.17,-0.28,0.3772,-0.31,-0.353,2.166,0.936,7.932,,,,,,32.8
IE00BYM11H29,22.06,10.58,7.12,31.87,14.15,-17.07,-1.25,-2.03,2.8064,1.305,1.703,1.292,1.267,7.86,,,,,,56.4
LU1459801517,6.37,1.11,1.36,4.96,4.26,-3.27,-0.39,-0.59,0.8321,0.651,0.894,1.949,1.121,7.65,,,,,,54.6
